20
outbound tcp 13025 142.245.16.16
inbound tcp 43055 216.155.28.222
inbound tcp 36437 237.151.4.155
inbound udp 58325 48.33.227.74
inbound udp 9735 206.27.237.139
inbound udp 12867 253.205.174.141
outbound tcp 23865 26.168.251.146
outbound tcp 33152 123.124.74.253
inbound udp 22582 223.22.29.172
inbound udp 64491 114.228.120.199
inbound udp 39975 8.16.141.0
inbound udp 35357 27.242.196.224
outbound udp 21805 133.116.124.130
outbound tcp 39162 165.31.141.238
outbound udp 42212 175.222.61.47
inbound udp 33061 134.192.35.32
inbound tcp 17186 252.150.111.228
outbound tcp 39906 172.209.65.110
inbound udp 32242 28.103.120.136
outbound udp 33632 215.55.192.119
