200
inbound udp 52463 165.233.242.36
outbound udp 21500 79.122.93.27
inbound udp 2739 103.103.221.52
inbound tcp 15093 39.245.69.93
outbound udp 12963 251.220.98.147
outbound tcp 36623 221.254.227.254
outbound udp 22576 115.110.186.11
inbound tcp 53898 238.152.70.57
outbound udp 40318 177.96.34.222
outbound tcp 34277 154.92.33.212
inbound tcp 29156 141.105.134.77
inbound tcp 58471 196.158.44.31
inbound udp 49792 54.247.73.108
inbound udp 41690 5.254.118.202
inbound udp 27958 120.234.253.22
outbound udp 18361 16.133.161.123
outbound udp 24 82.212.215.245
outbound tcp 53499 70.187.223.9
inbound udp 62833 146.8.29.112
inbound udp 2158 70.206.145.170
outbound tcp 6220 114.17.51.21
inbound tcp 23319 67.62.4.89
outbound tcp 26179 130.82.149.160
inbound udp 50157 232.162.111.224
inbound udp 18585 139.38.245.125
outbound tcp 60881 51.225.169.92
outbound udp 19031 151.45.134.165
outbound udp 56080 59.72.59.11
inbound tcp 51618 128.245.218.230
outbound tcp 10562 241.217.46.76
outbound tcp 40833 250.15.193.65
inbound udp 13321 247.212.146.50
outbound udp 58042 214.96.35.244
inbound udp 45109 131.63.127.224
inbound tcp 54606 175.231.138.250
outbound tcp 13730 69.235.22.97
outbound udp 28146 42.124.15.17
outbound udp 45488 27.226.10.128
outbound udp 39654 240.233.51.180
inbound tcp 34918 219.89.74.156
outbound udp 7676 69.142.238.34
inbound tcp 64232 163.189.213.84
outbound tcp 48245 113.131.230.100
inbound udp 39199 214.215.155.115
inbound udp 3725 240.12.68.160
outbound tcp 63788 217.50.159.224
inbound udp 9021 106.242.201.111
inbound tcp 29426 86.233.60.182
inbound udp 62677 148.126.6.16
inbound udp 55184 116.231.240.207
outbound tcp 50484 114.220.116.76
inbound udp 11917 184.152.120.120
outbound tcp 37166 126.246.188.247
outbound udp 55843 147.112.35.211
outbound tcp 48906 101.112.153.194
inbound tcp 50735 50.73.141.72
outbound tcp 59148 170.124.242.114
inbound tcp 29073 121.0.127.21
outbound udp 43795 69.169.76.57
outbound tcp 59839 233.41.62.155
outbound tcp 5031 155.61.220.78
outbound udp 31298 191.235.106.226
inbound tcp 17922 126.10.82.4
inbound tcp 65368 75.235.0.223
outbound udp 55032 46.211.33.216
outbound udp 45208 166.117.48.76
outbound udp 34115 237.226.215.242
outbound tcp 8393 29.230.70.130
inbound tcp 21460 131.112.70.170
inbound udp 49711 212.128.183.241
outbound udp 45728 9.102.54.85
outbound tcp 45162 48.52.50.134
inbound udp 26111 80.90.152.166
inbound tcp 8586 166.185.235.228
inbound udp 20473 143.8.131.62
inbound tcp 30853 252.254.119.84
inbound udp 3782 142.119.133.212
outbound tcp 55568 85.40.60.197
inbound udp 31749 178.184.8.191
outbound tcp 23458 219.200.137.219
inbound udp 44995 50.246.134.115
inbound tcp 61112 87.8.200.42
inbound udp 50224 209.41.244.113
outbound udp 62750 219.45.163.169
inbound udp 28591 133.76.221.107
inbound udp 34324 12.60.175.144
outbound tcp 11495 72.189.253.253
outbound tcp 33039 74.140.241.175
outbound udp 52162 74.112.223.158
outbound tcp 35012 40.147.125.108
outbound tcp 45991 28.192.146.10
outbound tcp 52513 173.223.214.62
outbound tcp 6370 8.212.148.170
outbound udp 44558 185.190.37.193
inbound udp 27249 242.184.201.46
inbound udp 33916 82.27.99.22
outbound udp 24118 240.94.101.156
outbound udp 14525 106.235.193.216
outbound tcp 54935 216.51.106.71
inbound tcp 17378 127.175.221.99
outbound tcp 55916 117.117.57.91
inbound udp 19105 231.219.230.67
inbound tcp 16592 8.88.35.191
inbound udp 27552 239.19.131.58
inbound tcp 63551 16.184.228.44
outbound udp 21616 196.12.138.32
inbound udp 45555 214.16.218.37
outbound udp 44453 127.63.173.25
outbound tcp 8641 9.42.230.173
outbound udp 41101 168.59.150.133
inbound tcp 22550 81.17.124.117
inbound udp 28815 166.57.90.8
outbound udp 30070 23.39.76.60
inbound udp 48949 134.196.42.148
outbound udp 23251 210.183.18.215
outbound udp 37284 185.15.60.156
outbound tcp 56066 12.179.194.7
outbound tcp 47376 14.226.221.191
outbound udp 50648 121.232.101.150
inbound udp 62777 120.190.246.123
inbound tcp 54478 129.51.116.83
outbound tcp 11499 101.233.160.22
inbound tcp 47893 217.107.55.3
outbound udp 18512 41.39.215.46
inbound udp 36549 205.159.170.182
outbound tcp 11737 79.75.54.197
outbound udp 39557 193.253.232.243
outbound udp 62946 42.121.7.213
outbound udp 28275 230.225.212.125
inbound tcp 39261 21.82.228.232
inbound tcp 37806 197.202.202.62
inbound udp 33478 170.55.224.168
inbound tcp 31889 185.216.199.203
outbound udp 64749 140.26.210.114
inbound tcp 39513 202.18.210.224
inbound tcp 43724 152.66.25.27
inbound udp 46579 51.201.50.169
inbound udp 17348 143.163.178.151
outbound tcp 3039 148.237.56.210
inbound tcp 49382 189.180.126.128
inbound tcp 59737 217.165.202.154
outbound tcp 10216 61.44.211.180
inbound udp 39275 77.50.255.138
outbound udp 27112 166.169.149.249
outbound tcp 16831 248.222.19.76
outbound tcp 59803 108.219.201.123
inbound udp 56627 15.78.158.177
outbound tcp 29896 31.115.164.177
outbound udp 8738 206.40.167.35
inbound udp 20936 139.84.48.150
outbound tcp 14820 232.224.156.66
inbound udp 51323 32.171.46.39
outbound tcp 28594 194.113.89.91
outbound tcp 25733 109.221.118.76
outbound tcp 28720 68.187.174.39
inbound udp 30981 26.68.185.41
outbound tcp 33757 116.92.248.106
inbound tcp 53928 235.109.47.177
outbound udp 34777 20.19.119.173
inbound tcp 35703 232.65.204.5
outbound udp 58518 41.145.92.107
outbound tcp 26775 37.39.137.45
inbound udp 45608 104.128.85.79
outbound tcp 37116 107.172.154.233
outbound tcp 25151 13.61.51.227
outbound tcp 34967 78.204.110.36
inbound udp 30958 51.225.17.31
outbound udp 3956 222.246.61.151
outbound udp 24090 241.54.191.82
inbound udp 56708 218.19.243.170
outbound udp 27065 84.32.25.4
outbound tcp 28768 115.81.94.228
inbound tcp 54235 121.192.5.118
outbound udp 54513 75.17.149.151
inbound udp 53505 3.123.104.11
inbound udp 51634 126.192.24.87
inbound udp 54225 171.98.138.150
inbound tcp 11733 231.169.44.118
inbound tcp 55062 40.220.154.39
inbound udp 5513 172.221.74.228
inbound tcp 13295 139.203.40.14
outbound tcp 33296 210.134.6.53
inbound udp 40602 45.43.79.244
inbound tcp 61371 126.151.142.9
outbound tcp 936 168.207.31.136
inbound udp 91 198.15.11.126
inbound udp 42947 39.100.39.180
outbound tcp 19679 117.24.90.64
outbound udp 10302 124.59.16.180
outbound tcp 25731 74.184.126.77
inbound tcp 33370 60.5.107.87
inbound tcp 51605 94.90.232.203
outbound tcp 41140 110.15.165.119
inbound tcp 49751 199.186.37.117
outbound tcp 24256 38.191.2.68
outbound tcp 10544 180.33.161.242
inbound tcp 31303 17.178.86.44
outbound tcp 28941 221.65.44.205
inbound tcp 4545 176.207.199.9
inbound udp 29565 172.140.92.200
